階層,地域コード,地域,昼間通学者／総数／令和２（2020）年（人）,昼間通学者／総数／平成27（2015）年（人）,昼間通学者／総数／増減数（人）,昼間通学者／総数／増減率（％）,昼間通学者／男／令和２（2020）年（人）,昼間通学者／男／平成27（2015）年（人）,昼間通学者／男／増減数（人）,昼間通学者／男／増減率（％）,昼間通学者／女／令和２（2020）年（人）,昼間通学者／女／平成27（2015）年（人）,昼間通学者／女／増減数（人）,昼間通学者／女／増減率（％）,常住通学者／総数／令和２（2020）年（人）,常住通学者／総数／平成27（2015）年（人）,常住通学者／総数／増減数（人）,常住通学者／総数／増減率（％）,常住通学者／男／令和２（2020）年（人）,常住通学者／男／平成27（2015）年（人）,常住通学者／男／増減数（人）,常住通学者／男／増減率（％）,常住通学者／女／令和２（2020）年(人),常住通学者／女／平成27（2015）年（人）,常住通学者／増減数／女（人）,常住通学者／増減率／女（％）,流入通学者／総数／令和２（2020）年（人）,流入通学者／総数／平成27（2015）年（人）,流入通学者／総数／増減数（人）,流入通学者／総数／増減率（％）,流入通学者／男／令和２（2020）年（人）,流入通学者／男／平成27年（2015）年（人）,流入通学者／男／増減数（人）,流入通学者／男／増減率（％）,流入通学者／女／令和２（2020）年（人）,流入通学者／女／平成27年（2015）年（人）,流入通学者／女／増減数（人）,流入通学者／女／増減率（％）,流出通学者／総数／令和２（2020）年（人）,流出通学者／総数／平成27（2015）年（人）,流出通学者／総数／増減数（人）,流出通学者／総数／増減率（％）,流出通学者／男／令和２（2020）年（人）,流出通学者／男／平成27年（2015）年（人）,流出通学者／男／増減数（人）,流出通学者／男／増減率（％）,流出通学者／女／令和２（2020）年（人）,流出通学者／女／平成27年（2015）年（人）,流出通学者／女／増減数（人）,流出通学者／女／増減率（％）,流入超過通学者／総数／令和２（2020）年（人）,流入超過通学者／総数／平成27（2015）年（人）,流入超過通学者／総数／増減数（人）,流入超過通学者／男／令和２（2020）年（人）,流入超過通学者／男／平成27（2015）年（人）,流入超過通学者／男／増減数(人),流入超過通学者／女／令和２（2020）年（人）,流入超過通学者／女／平成27（2015）年（人）,流入超過通学者／女／増減数（人）,残留通学者／総数／令和２（2020）年（人）,残留通学者／総数／平成27（2015）年（人）,残留通学者／総数／増減数（人）,残留通学者／総数／増減率（％）,残留通学者／男／令和２（2020）年（人）,残留通学者／男／平成27（2015）年（人）,残留通学者／男／増減数（人）,残留通学者／男／増減率（％）,残留通学者／女／令和２（2020）年（人）,残留通学者／女／平成27（2015）年（人）,残留通学者／女／増減数（人）,残留通学者／女／増減率（％）,昼夜間通学者比率／総数／令和２（2020）年（％）,昼夜間通学者比率／総数／平成27（2015）年（％）,昼夜間通学者比率／総数／増減数(人),昼夜間通学者比率／総数／増減率(％),昼夜間通学者比率／男／令和２（2020）年（％）,昼夜間通学者比率／男／平成27（2015）年（％）,昼夜間通学者比率／男／増減数（人）,昼夜間通学者比率／男／増減率（％）,昼夜間通学者比率／女／令和２（2020）年（％）,昼夜間通学者比率／女／平成27（2015）年（％）,昼夜間通学者比率／女／増減数（人）,昼夜間通学者比率／女／増減率（％）,面積（平方キロメートル）,人口密度／昼間通学者（人／平方キロメートル）,人口密度／常住通学者（人／平方キロメートル）
2,13204,三鷹市,21649,20894,755,3.6,10546,10178,368,3.6,11103,10716,387,3.6,22206,23397,-1191,-5.1,11324,11951,-627,-5.2,10882,11446,-564,-4.9,6617,6056,561,9.3,2936,2625,311,11.8,3681,3431,250,7.3,7174,8559,-1385,-16.2,3714,4398,-684,-15.6,3460,4161,-701,-16.8,-557,-2503,1946,-778,-1773,995,221,-730,951,15032,14838,194,1.3,7610,7553,57,0.8,7422,7285,137,1.9,97.5,89.3,8.2,9.2,93.1,85.2,7.9,9.3,102.0,93.6,8.4,9.0,16.42,1318.5,1352.4
2,13205,青梅市,10559,12116,-1557,-12.9,5336,6172,-836,-13.5,5223,5944,-721,-12.1,13338,15911,-2573,-16.2,6876,8274,-1398,-16.9,6462,7637,-1175,-15.4,934,1100,-166,-15.1,410,510,-100,-19.6,524,590,-66,-11.2,3713,4895,-1182,-24.1,1950,2612,-662,-25.3,1763,2283,-520,-22.8,-2779,-3795,1016,-1540,-2102,562,-1239,-1693,454,9625,11016,-1391,-12.6,4926,5662,-736,-13.0,4699,5354,-655,-12.2,79.2,76.1,3.1,4.1,77.6,74.6,3.0,4.0,80.8,77.8,3.0,3.9,103.31,102.2,129.1
2,13206,府中市,27269,27793,-524,-1.9,13994,14332,-338,-2.4,13275,13461,-186,-1.4,30965,32241,-1276,-4.0,15962,16746,-784,-4.7,15003,15495,-492,-3.2,5543,6425,-882,-13.7,2754,3176,-422,-13.3,2789,3249,-460,-14.2,9239,10873,-1634,-15.0,4722,5590,-868,-15.5,4517,5283,-766,-14.5,-3696,-4448,752,-1968,-2414,446,-1728,-2034,306,21726,21368,358,1.7,11240,11156,84,0.8,10486,10212,274,2.7,88.1,86.2,1.9,2.2,87.7,85.6,2.1,2.5,88.5,86.9,1.6,1.8,29.43,926.6,1052.2
2,13207,昭島市,10203,10372,-169,-1.6,5242,5287,-45,-0.9,4961,5085,-124,-2.4,12160,13091,-931,-7.1,6240,6709,-469,-7.0,5920,6382,-462,-7.2,1789,1833,-44,-2.4,945,943,2,0.2,844,890,-46,-5.2,3746,4552,-806,-17.7,1943,2365,-422,-17.8,1803,2187,-384,-17.6,-1957,-2719,762,-998,-1422,424,-959,-1297,338,8414,8539,-125,-1.5,4297,4344,-47,-1.1,4117,4195,-78,-1.9,83.9,79.2,4.7,5.9,84.0,78.8,5.2,6.6,83.8,79.7,4.1,5.1,17.34,588.4,701.3
2,13208,調布市,26151,27840,-1689,-6.1,12755,13433,-678,-5.0,13396,14407,-1011,-7.0,26092,28527,-2435,-8.5,13678,15116,-1438,-9.5,12414,13411,-997,-7.4,8175,9688,-1513,-15.6,3424,3924,-500,-12.7,4751,5764,-1013,-17.6,8116,10375,-2259,-21.8,4347,5607,-1260,-22.5,3769,4768,-999,-21.0,59,-687,746,-923,-1683,760,982,996,-14,17976,18152,-176,-1.0,9331,9509,-178,-1.9,8645,8643,2,0.0,100.2,97.6,2.6,2.7,93.3,88.9,4.4,4.9,107.9,107.4,0.5,0.5,21.58,1211.8,1209.1
2,13209,町田市,56814,65380,-8566,-13.1,29666,34035,-4369,-12.8,27148,31345,-4197,-13.4,52587,57055,-4468,-7.8,27504,29738,-2234,-7.5,25083,27317,-2234,-8.2,17709,23397,-5688,-24.3,9200,12080,-2880,-23.8,8509,11317,-2808,-24.8,13482,15072,-1590,-10.5,7038,7783,-745,-9.6,6444,7289,-845,-11.6,4227,8325,-4098,2162,4297,-2135,2065,4028,-1963,39105,41983,-2878,-6.9,20466,21955,-1489,-6.8,18639,20028,-1389,-6.9,108.0,114.6,-6.6,-5.8,107.9,114.4,-6.5,-5.7,108.2,114.7,-6.5,-5.7,71.55,794.0,735.0
2,13210,小金井市,18720,20438,-1718,-8.4,10764,11944,-1180,-9.9,7956,8494,-538,-6.3,14067,15523,-1456,-9.4,7467,8410,-943,-11.2,6600,7113,-513,-7.2,9474,11140,-1666,-15.0,5743,6807,-1064,-15.6,3731,4333,-602,-13.9,4821,6225,-1404,-22.6,2446,3273,-827,-25.3,2375,2952,-577,-19.5,4653,4915,-262,3297,3534,-237,1356,1381,-25,9246,9298,-52,-0.6,5021,5137,-116,-2.3,4225,4161,64,1.5,133.1,131.7,1.4,1.1,144.2,142.0,2.2,1.5,120.5,119.4,1.1,0.9,11.30,1656.6,1244.9
2,13211,小平市,25290,25720,-430,-1.7,11632,11438,194,1.7,13658,14282,-624,-4.4,23570,25865,-2295,-8.9,12251,13439,-1188,-8.8,11319,12426,-1107,-8.9,8527,9760,-1233,-12.6,3018,3375,-357,-10.6,5509,6385,-876,-13.7,6807,9905,-3098,-31.3,3637,5376,-1739,-32.3,3170,4529,-1359,-30.0,1720,-145,1865,-619,-2001,1382,2339,1856,483,16763,15960,803,5.0,8614,8063,551,6.8,8149,7897,252,3.2,107.3,99.4,7.9,7.9,94.9,85.1,9.8,11.5,120.7,114.9,5.8,5.0,20.51,1233.1,1149.2
2,13212,日野市,20439,22299,-1860,-8.3,10734,11878,-1144,-9.6,9705,10421,-716,-6.9,21656,23810,-2154,-9.0,11352,12608,-1256,-10.0,10304,11202,-898,-8.0,5599,7130,-1531,-21.5,3035,4069,-1034,-25.4,2564,3061,-497,-16.2,6816,8641,-1825,-21.1,3653,4799,-1146,-23.9,3163,3842,-679,-17.7,-1217,-1511,294,-618,-730,112,-599,-781,182,14840,15169,-329,-2.2,7699,7809,-110,-1.4,7141,7360,-219,-3.0,94.4,93.7,0.7,0.7,94.6,94.2,0.4,0.4,94.2,93.0,1.2,1.3,27.55,741.9,786.1
2,13213,東村山市,13634,14117,-483,-3.4,7031,7291,-260,-3.6,6603,6826,-223,-3.3,16683,18439,-1756,-9.5,8665,9541,-876,-9.2,8018,8898,-880,-9.9,2255,2455,-200,-8.1,1103,1244,-141,-11.3,1152,1211,-59,-4.9,5304,6777,-1473,-21.7,2737,3494,-757,-21.7,2567,3283,-716,-21.8,-3049,-4322,1273,-1634,-2250,616,-1415,-2072,657,11379,11662,-283,-2.4,5928,6047,-119,-2.0,5451,5615,-164,-2.9,81.7,76.6,5.1,6.7,81.1,76.4,4.7,6.2,82.4,76.7,5.7,7.4,17.14,795.4,973.3
2,13214,国分寺市,14258,15454,-1196,-7.7,8006,8660,-654,-7.6,6252,6794,-542,-8.0,14237,15270,-1033,-6.8,7368,7825,-457,-5.8,6869,7445,-576,-7.7,5426,6916,-1490,-21.5,3352,4257,-905,-21.3,2074,2659,-585,-22.0,5405,6732,-1327,-19.7,2714,3422,-708,-20.7,2691,3310,-619,-18.7,21,184,-163,638,835,-197,-617,-651,34,8832,8538,294,3.4,4654,4403,251,5.7,4178,4135,43,1.0,100.1,101.2,-1.1,-1.1,108.7,110.7,-2.0,-1.8,91.0,91.3,-0.3,-0.3,11.46,1244.2,1242.3
2,13215,国立市,12832,14762,-1930,-13.1,7114,8167,-1053,-12.9,5718,6595,-877,-13.3,8673,9721,-1048,-10.8,4459,5032,-573,-11.4,4214,4689,-475,-10.1,7035,8581,-1546,-18.0,4139,4982,-843,-16.9,2896,3599,-703,-19.5,2876,3540,-664,-18.8,1484,1847,-363,-19.7,1392,1693,-301,-17.8,4159,5041,-882,2655,3135,-480,1504,1906,-402,5797,6181,-384,-6.2,2975,3185,-210,-6.6,2822,2996,-174,-5.8,148.0,151.9,-3.9,-2.6,159.5,162.3,-2.8,-1.7,135.7,140.6,-4.9,-3.5,8.15,1574.5,1064.2
2,13218,福生市,4244,4003,241,6.0,2274,2224,50,2.2,1970,1779,191,10.7,5006,5077,-71,-1.4,2574,2663,-89,-3.3,2432,2414,18,0.7,775,907,-132,-14.6,505,585,-80,-13.7,270,322,-52,-16.1,1537,1981,-444,-22.4,805,1024,-219,-21.4,732,957,-225,-23.5,-762,-1074,312,-300,-439,139,-462,-635,173,3469,3096,373,12.0,1769,1639,130,7.9,1700,1457,243,16.7,84.8,78.8,6.0,7.6,88.3,83.5,4.8,5.7,81.0,73.7,7.3,9.9,10.16,417.7,492.7
2,13219,狛江市,6183,5798,385,6.6,3145,2944,201,6.8,3038,2854,184,6.4,8534,8667,-133,-1.5,4459,4583,-124,-2.7,4075,4084,-9,-0.2,929,1020,-91,-8.9,436,449,-13,-2.9,493,571,-78,-13.7,3280,3889,-609,-15.7,1750,2088,-338,-16.2,1530,1801,-271,-15.0,-2351,-2869,518,-1314,-1639,325,-1037,-1230,193,5254,4778,476,10.0,2709,2495,214,8.6,2545,2283,262,11.5,72.5,66.9,5.6,8.4,70.5,64.2,6.3,9.8,74.6,69.9,4.7,6.7,6.39,967.6,1335.5
2,13220,東大和市,8206,8464,-258,-3.0,4123,4223,-100,-2.4,4083,4241,-158,-3.7,9725,10332,-607,-5.9,4999,5287,-288,-5.4,4726,5045,-319,-6.3,1434,1583,-149,-9.4,680,770,-90,-11.7,754,813,-59,-7.3,2953,3451,-498,-14.4,1556,1834,-278,-15.2,1397,1617,-220,-13.6,-1519,-1868,349,-876,-1064,188,-643,-804,161,6772,6881,-109,-1.6,3443,3453,-10,-0.3,3329,3428,-99,-2.9,84.4,81.9,2.5,3.1,82.5,79.9,2.6,3.3,86.4,84.1,2.3,2.7,13.42,611.5,724.7
2,13221,清瀬市,8528,9342,-814,-8.7,4086,4513,-427,-9.5,4442,4829,-387,-8.0,8496,9269,-773,-8.3,4230,4703,-473,-10.1,4266,4566,-300,-6.6,2528,3014,-486,-16.1,1080,1293,-213,-16.5,1448,1721,-273,-15.9,2496,2941,-445,-15.1,1224,1483,-259,-17.5,1272,1458,-186,-12.8,32,73,-41,-144,-190,46,176,263,-87,6000,6328,-328,-5.2,3006,3220,-214,-6.6,2994,3108,-114,-3.7,100.4,100.8,-0.4,-0.4,96.6,96.0,0.6,0.6,104.1,105.8,-1.7,-1.6,10.23,833.6,830.5
2,13222,東久留米市,10039,10520,-481,-4.6,5131,5449,-318,-5.8,4908,5071,-163,-3.2,12629,14165,-1536,-10.8,6512,7330,-818,-11.2,6117,6835,-718,-10.5,1290,1453,-163,-11.2,660,730,-70,-9.6,630,723,-93,-12.9,3880,5098,-1218,-23.9,2041,2611,-570,-21.8,1839,2487,-648,-26.1,-2590,-3645,1055,-1381,-1881,500,-1209,-1764,555,8749,9067,-318,-3.5,4471,4719,-248,-5.3,4278,4348,-70,-1.6,79.5,74.3,5.2,7.0,78.8,74.3,4.5,6.1,80.2,74.2,6.0,8.1,12.88,779.4,980.5
2,13223,武蔵村山市,8181,9012,-831,-9.2,4082,4437,-355,-8.0,4099,4575,-476,-10.4,8257,9198,-941,-10.2,4232,4689,-457,-9.7,4025,4509,-484,-10.7,1841,2008,-167,-8.3,848,885,-37,-4.2,993,1123,-130,-11.6,1917,2194,-277,-12.6,998,1137,-139,-12.2,919,1057,-138,-13.1,-76,-186,110,-150,-252,102,74,66,8,6340,7004,-664,-9.5,3234,3552,-318,-9.0,3106,3452,-346,-10.0,99.1,98.0,1.1,1.1,96.5,94.6,1.9,2.0,101.8,101.5,0.3,0.3,15.32,534.0,539.0
2,13224,多摩市,17005,19157,-2152,-11.2,8390,9023,-633,-7.0,8615,10134,-1519,-15.0,16397,17220,-823,-4.8,8448,8937,-489,-5.5,7949,8283,-334,-4.0,5676,7805,-2129,-27.3,2566,3167,-601,-19.0,3110,4638,-1528,-32.9,5068,5868,-800,-13.6,2624,3081,-457,-14.8,2444,2787,-343,-12.3,608,1937,-1329,-58,86,-144,666,1851,-1185,11329,11352,-23,-0.2,5824,5856,-32,-0.5,5505,5496,9,0.2,103.7,111.2,-7.5,-6.7,99.3,101.0,-1.7,-1.7,108.4,122.3,-13.9,-11.4,21.01,809.4,780.4
2,13225,稲城市,9718,9760,-42,-0.4,4285,4173,112,2.7,5433,5587,-154,-2.8,12455,12427,28,0.2,6533,6430,103,1.6,5922,5997,-75,-1.3,1627,1878,-251,-13.4,161,186,-25,-13.4,1466,1692,-226,-13.4,4364,4545,-181,-4.0,2409,2443,-34,-1.4,1955,2102,-147,-7.0,-2737,-2667,-70,-2248,-2257,9,-489,-410,-79,8091,7882,209,2.7,4124,3987,137,3.4,3967,3895,72,1.8,78.0,78.5,-0.5,-0.6,65.6,64.9,0.7,1.1,91.7,93.2,-1.5,-1.6,17.97,540.8,693.1
2,13227,羽村市,5012,5408,-396,-7.3,2638,2782,-144,-5.2,2374,2626,-252,-9.6,6244,7019,-775,-11.0,3169,3574,-405,-11.3,3075,3445,-370,-10.7,650,775,-125,-16.1,388,456,-68,-14.9,262,319,-57,-17.9,1882,2386,-504,-21.1,919,1248,-329,-26.4,963,1138,-175,-15.4,-1232,-1611,379,-531,-792,261,-701,-819,118,4362,4633,-271,-5.8,2250,2326,-76,-3.3,2112,2307,-195,-8.5,80.3,77.0,3.3,4.3,83.2,77.8,5.4,6.9,77.2,76.2,1.0,1.3,9.90,506.3,630.7
2,13228,あきる野市,8025,9084,-1059,-11.7,4326,4892,-566,-11.6,3699,4192,-493,-11.8,8957,10124,-1167,-11.5,4667,5298,-631,-11.9,4290,4826,-536,-11.1,1646,1865,-219,-11.7,1008,1106,-98,-8.9,638,759,-121,-15.9,2578,2905,-327,-11.3,1349,1512,-163,-10.8,1229,1393,-164,-11.8,-932,-1040,108,-341,-406,65,-591,-634,43,6379,7219,-840,-11.6,3318,3786,-468,-12.4,3061,3433,-372,-10.8,89.6,89.7,-0.1,-0.1,92.7,92.3,0.4,0.4,86.2,86.9,-0.7,-0.8,73.47,109.2,121.9
2,13229,西東京市,19447,19298,149,0.8,9657,9360,297,3.2,9790,9938,-148,-1.5,23607,25501,-1894,-7.4,12343,13510,-1167,-8.6,11264,11991,-727,-6.1,3908,4511,-603,-13.4,1688,1771,-83,-4.7,2220,2740,-520,-19.0,8068,10714,-2646,-24.7,4374,5921,-1547,-26.1,3694,4793,-1099,-22.9,-4160,-6203,2043,-2686,-4150,1464,-1474,-2053,579,15539,14787,752,5.1,7969,7589,380,5.0,7570,7198,372,5.2,82.4,75.7,6.7,8.9,78.2,69.3,8.9,12.8,86.9,82.9,4.0,4.8,15.75,1234.7,1498.9
1,13300,郡部,4519,4633,-114,-2.5,2307,2365,-58,-2.5,2212,2268,-56,-2.5,5919,6569,-650,-9.9,3142,3499,-357,-10.2,2777,3070,-293,-9.5,313,338,-25,-7.4,93,122,-29,-23.8,220,216,4,1.9,1713,2274,-561,-24.7,928,1256,-328,-26.1,785,1018,-233,-22.9,-1400,-1936,536,-835,-1134,299,-565,-802,237,4206,4295,-89,-2.1,2214,2243,-29,-1.3,1992,2052,-60,-2.9,76.3,70.5,5.8,8.2,73.4,67.6,5.8,8.6,79.7,73.9,5.8,7.8,375.86,12.0,15.7
2,13303,瑞穂町,2605,3082,-477,-15.5,1264,1548,-284,-18.3,1341,1534,-193,-12.6,3360,4080,-720,-17.6,1717,2113,-396,-18.7,1643,1967,-324,-16.5,277,334,-57,-17.1,76,116,-40,-34.5,201,218,-17,-7.8,1032,1332,-300,-22.5,529,681,-152,-22.3,503,651,-148,-22.7,-755,-998,243,-453,-565,112,-302,-433,131,2328,2748,-420,-15.3,1188,1432,-244,-17.0,1140,1316,-176,-13.4,77.5,75.5,2.0,2.6,73.6,73.3,0.3,0.4,81.6,78.0,3.6,4.6,16.85,154.6,199.4
2,13305,日の出町,1612,1234,378,30.6,878,646,232,35.9,734,588,146,24.8,2100,1943,157,8.1,1174,1092,82,7.5,926,851,75,8.8,18,10,8,80.0,9,6,3,50.0,9,4,5,125.0,506,719,-213,-29.6,305,452,-147,-32.5,201,267,-66,-24.7,-488,-709,221,-296,-446,150,-192,-263,71,1594,1224,370,30.2,869,640,229,35.8,725,584,141,24.1,76.8,63.5,13.3,20.9,74.8,59.2,15.6,26.4,79.3,69.1,10.2,14.8,28.07,57.4,74.8
2,13307,檜原村,88,91,-3,-3.3,47,44,3,6.8,41,47,-6,-12.8,118,159,-41,-25.8,62,79,-17,-21.5,56,80,-24,-30.0,11,-,11,-,4,-,4,-,7,-,7,-,41,68,-27,-39.7,19,35,-16,-45.7,22,33,-11,-33.3,-30,-68,38,-15,-35,20,-15,-33,18,77,91,-14,-15.4,43,44,-1,-2.3,34,47,-13,-27.7,74.6,57.2,17.4,30.4,75.8,55.7,20.1,36.1,73.2,58.8,14.4,24.5,105.41,0.8,1.1
2,13308,奥多摩町,214,226,-12,-5.3,118,127,-9,-7.1,96,99,-3,-3.0,341,387,-46,-11.9,189,215,-26,-12.1,152,172,-20,-11.6,9,5,4,80.0,4,4,0,0.0,5,1,4,400.0,136,166,-30,-18.1,75,92,-17,-18.5,61,74,-13,-17.6,-127,-161,34,-71,-88,17,-56,-73,17,205,221,-16,-7.2,114,123,-9,-7.3,91,98,-7,-7.1,62.8,58.4,4.4,7.5,62.4,59.1,3.3,5.6,63.2,57.6,5.6,9.7,225.53,0.9,1.5
1,13350,島部,2322,2514,-192,-7.6,1267,1386,-119,-8.6,1055,1128,-73,-6.5,2344,2461,-117,-4.8,1283,1348,-65,-4.8,1061,1113,-52,-4.7,34,77,-43,-55.8,21,47,-26,-55.3,13,30,-17,-56.7,56,24,32,133.3,37,9,28,311.1,19,15,4,26.7,-22,53,-75,-16,38,-54,-6,15,-21,2288,2437,-149,-6.1,1246,1339,-93,-6.9,1042,1098,-56,-5.1,99.1,102.2,-3.1,-3.0,98.8,102.8,-4.0,-3.9,99.4,101.3,-1.9,-1.9,406.69,5.7,5.8
2,13361,大島町,799,893,-94,-10.5,463,516,-53,-10.3,336,377,-41,-10.9,797,872,-75,-8.6,462,497,-35,-7.0,335,375,-40,-10.7,22,29,-7,-24.1,12,22,-10,-45.5,10,7,3,42.9,20,8,12,150.0,11,3,8,266.7,9,5,4,80.0,2,21,-19,1,19,-18,1,2,-1,777,864,-87,-10.1,451,494,-43,-8.7,326,370,-44,-11.9,100.3,102.4,-2.1,-2.1,100.2,103.8,-3.6,-3.5,100.3,100.5,-0.2,-0.2,90.76,8.8,8.8
2,13362,利島村,35,35,0,0.0,20,22,-2,-9.1,15,13,2,15.4,36,25,11,44.0,22,16,6,37.5,14,9,5,55.6,2,10,-8,-80.0,1,6,-5,-83.3,1,4,-3,-75.0,3,-,3,-,3,-,3,-,-,-,-,-,-1,10,-11,-2,6,-8,1,4,-3,33,25,8,32.0,19,16,3,18.8,14,9,5,55.6,97.2,140.0,-42.8,-30.6,90.9,137.5,-46.6,-33.9,107.1,144.4,-37.3,-25.8,4.12,8.5,8.7
2,13363,新島村,217,243,-26,-10.7,101,127,-26,-20.5,116,116,0,0.0,230,238,-8,-3.4,109,124,-15,-12.1,121,114,7,6.1,-,7,-7,-100.0,-,3,-3,-100.0,-,4,-4,-100.0,13,2,11,550.0,8,-,8,-,5,2,3,150.0,-13,5,-18,-8,3,-11,-5,2,-7,217,236,-19,-8.1,101,124,-23,-18.5,116,112,4,3.6,94.3,102.1,-7.8,-7.6,92.7,102.4,-9.7,-9.5,95.9,101.8,-5.9,-5.8,27.54,7.9,8.4
2,13364,神津島村,223,208,15,7.2,119,111,8,7.2,104,97,7,7.2,230,206,24,11.7,125,112,13,11.6,105,94,11,11.7,1,4,-3,-75.0,1,1,0,0.0,-,3,-3,-100.0,8,2,6,300.0,7,2,5,250.0,1,-,1,-,-7,2,-9,-6,-1,-5,-1,3,-4,222,204,18,8.8,118,110,8,7.3,104,94,10,10.6,97.0,101.0,-4.0,-4.0,95.2,99.1,-3.9,-3.9,99.0,103.2,-4.2,-4.1,18.58,12.0,12.4
2,13381,三宅村,129,142,-13,-9.2,74,90,-16,-17.8,55,52,3,5.8,128,142,-14,-9.9,73,90,-17,-18.9,55,52,3,5.8,2,4,-2,-50.0,2,2,0,0.0,-,2,-2,-100.0,1,4,-3,-75.0,1,2,-1,-50.0,-,2,-2,-100.0,1,-,1,1,-,1,-,-,-,127,138,-11,-8.0,72,88,-16,-18.2,55,50,5,10.0,100.8,100.0,0.8,0.8,101.4,100.0,1.4,1.4,100.0,100.0,0.0,0.0,55.26,2.3,2.3
2,13382,御蔵島村,30,23,7,30.4,20,13,7,53.8,10,10,0,0.0,30,19,11,57.9,20,12,8,66.7,10,7,3,42.9,-,4,-4,-100.0,-,1,-1,-100.0,-,3,-3,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-4,-,1,-1,-,3,-3,30,19,11,57.9,20,12,8,66.7,10,7,3,42.9,100.0,121.1,-21.1,-17.4,100.0,108.3,-8.3,-7.7,100.0,142.9,-42.9,-30.0,20.54,1.5,1.5
2,13401,八丈町,596,690,-94,-13.6,311,363,-52,-14.3,285,327,-42,-12.8,599,683,-84,-12.3,312,356,-44,-12.4,287,327,-40,-12.2,6,12,-6,-50.0,4,7,-3,-42.9,2,5,-3,-60.0,9,5,4,80.0,5,-,5,-,4,5,-1,-20.0,-3,7,-10,-1,7,-8,-2,-,-2,590,678,-88,-13.0,307,356,-49,-13.8,283,322,-39,-12.1,99.5,101.0,-1.5,-1.5,99.7,102.0,-2.3,-2.3,99.3,100.0,-0.7,-0.7,72.23,8.3,8.3
2,13402,青ヶ島村,12,19,-7,-36.8,5,10,-5,-50.0,7,9,-2,-22.2,11,14,-3,-21.4,4,6,-2,-33.3,7,8,-1,-12.5,1,5,-4,-80.0,1,4,-3,-75.0,-,1,-1,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-4,1,4,-3,-,1,-1,11,14,-3,-21.4,4,6,-2,-33.3,7,8,-1,-12.5,109.1,135.7,-26.6,-19.6,125.0,166.7,-41.7,-25.0,100.0,112.5,-12.5,-11.1,5.96,2.0,1.8
2,13421,小笠原村,281,261,20,7.7,154,134,20,14.9,127,127,0,0.0,283,262,21,8.0,156,135,21,15.6,127,127,0,0.0,-,2,-2,-100.0,-,1,-1,-100.0,-,1,-1,-100.0,2,3,-1,-33.3,2,2,0,0.0,-,1,-1,-100.0,-2,-1,-1,-2,-1,-1,-,-,-,281,259,22,8.5,154,133,21,15.8,127,126,1,0.8,99.3,99.6,-0.3,-0.3,98.7,99.3,-0.6,-0.6,100.0,100.0,0.0,0.0,106.88,2.6,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和２年国勢調査による東京都の昼間人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第３表の２　地域、男女別昼間・常住・流入・流出通学者の増減,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階層（0:東京都の合計　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　1)　流入通学者、流出通学者、流入超過通学者及び残留通学者のうち「東京都総数」、「区部」、「市部」、「郡部」及び「島部」の数値は合計値ではなく、それぞれの地区内移動者数を差し引いた数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　2)　昼夜間通学者比率＝昼間通学者÷常住通学者×１００,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　3） 流入超過通学者のマイナス値は流出超過である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
