_id,地域階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
1,0,,従業地・通学地／全国総数,…,1421603,892019,5654,10667,20072,25266,24673,14698,22193,48999,32908,25311,69322,93647,16422,25581,52769,23405,29281,20068,55314,79728,67662,46372,82007,520554,78183,18261,16261,23397,15911,32241,13091,28527,57055,15523,25865,23810,18439,15270,9721,5077,8667,10332,9269,14165,9198,17220,12427,7019,10124,25501,6569,4080,1943,159,387,2461,872,25,238,206,142,19,683,14,262,…,…,…,…,…,…,…,…,…
2,3,13000,従業地・通学地／東京都総数,1431654,1104643,654426,3658,7578,11030,18286,19120,9879,16474,36851,25798,18129,54771,66186,12117,20396,42709,17059,21369,14886,42317,56678,44586,33024,61525,442058,67776,16086,14022,18733,12826,28416,11441,25417,48598,13704,21892,20437,15440,12845,7947,4577,7119,8663,7360,11781,7006,13667,10570,5987,8137,21611,5746,3393,1827,152,374,2413,868,25,231,200,138,19,659,14,259,327011,308312,11035,4072,3935,100863,62343,126064,18699
3,4,13100,従業地・通学地／区部,941924,687501,624385,3496,7339,10503,17315,18467,9608,16104,35928,25078,17314,53342,60863,11247,18739,37553,16337,20754,14552,41156,52310,43777,32386,60217,62801,5049,1661,3899,4598,915,3948,968,5400,5157,2550,3433,1877,2344,2045,1177,385,2375,805,1350,2352,414,1622,1537,395,546,5999,307,198,78,9,22,8,2,-,1,1,3,-,1,-,-,254423,242730,9516,3294,2970,81768,55864,89318,11693
4,5,13101,従業地・通学地／千代田区,67709,35137,28772,2304,425,537,1197,1319,552,847,1927,763,675,1393,2872,559,887,1854,826,779,612,1579,1695,1334,1187,2649,6332,605,206,516,434,109,431,102,553,502,304,326,210,170,242,179,41,174,75,94,168,29,172,134,38,82,436,33,22,8,1,2,-,-,-,-,-,-,-,-,-,-,32572,31256,1518,473,364,9366,9878,9657,1316
5,5,13102,従業地・通学地／中央区,7701,6393,6190,20,4424,29,40,36,57,95,367,69,21,127,64,18,19,60,29,40,36,38,49,121,120,311,202,20,9,17,10,6,13,5,14,24,13,6,8,5,8,2,-,4,3,1,4,-,7,2,2,1,18,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1308,1242,54,18,13,337,484,336,66
6,5,13103,従業地・通学地／港区,37691,23860,21902,154,346,6459,438,632,233,297,946,1276,1089,2319,1946,608,342,812,321,325,204,613,702,547,505,788,1952,184,41,171,138,19,125,32,156,247,94,78,58,50,82,56,10,62,14,27,46,5,62,53,4,9,129,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,13831,13416,211,83,99,2623,2932,7468,415
7,5,13104,従業地・通学地／新宿区,77049,46250,35426,198,291,466,10901,1178,324,437,1147,711,722,1215,2518,624,2468,2311,1214,819,429,1317,2821,904,770,1641,10769,888,353,659,547,158,577,172,789,686,481,860,308,488,412,189,66,225,147,160,327,72,244,211,70,102,1578,55,29,21,1,4,-,-,-,-,-,-,-,-,-,-,30799,29313,1054,371,389,10696,6650,10153,1486
8,5,13105,従業地・通学地／文京区,63095,39107,35053,230,339,443,857,11659,647,556,1215,542,637,907,1529,436,553,1058,1682,1444,847,2983,1993,1606,1141,1749,4032,380,118,251,289,81,189,64,301,298,193,205,140,151,143,88,34,99,59,99,192,23,112,72,36,29,386,22,17,4,1,-,-,-,-,-,-,-,-,-,-,-,23988,22838,1286,297,290,9457,6289,5219,1150
9,5,13106,従業地・通学地／台東区,13195,10661,10377,31,75,39,60,180,5700,417,301,89,26,145,77,26,37,60,90,180,586,152,101,889,521,595,281,28,10,16,16,1,10,4,20,30,12,23,6,13,7,3,2,3,4,6,10,2,14,2,1,1,37,1,1,-,-,-,2,-,-,-,-,1,-,1,-,-,2534,2388,151,50,29,872,872,414,146
10,5,13107,従業地・通学地／墨田区,16736,15042,14946,16,96,29,41,50,220,10356,836,54,12,100,32,15,32,34,26,57,173,56,43,598,830,1240,96,9,2,10,5,1,4,1,5,10,2,5,7,5,2,-,1,1,1,3,2,1,1,2,1,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1694,1636,58,17,5,373,1024,159,58
11,5,13108,従業地・通学地／江東区,33104,29687,29168,14,174,69,60,70,134,548,24065,208,65,257,133,51,57,90,62,82,115,108,136,406,485,1779,513,42,16,32,32,6,25,8,36,43,27,32,15,19,26,11,4,10,12,17,19,3,11,4,9,7,47,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,3417,3229,142,59,27,914,1362,725,188
12,5,13109,従業地・通学地／品川区,34890,24540,23648,26,92,267,136,134,129,152,343,16448,553,2545,811,114,113,239,118,113,109,214,215,188,188,401,887,75,17,64,48,13,49,10,64,149,33,47,23,25,22,19,6,39,13,14,30,10,23,24,6,10,54,5,4,-,-,1,-,-,-,-,-,-,-,-,-,-,10350,9995,306,117,113,1623,1919,5917,355
13,5,13110,従業地・通学地／目黒区,26901,20136,17861,27,79,185,176,234,56,78,463,707,9359,1717,2190,303,160,708,134,125,74,257,353,147,117,212,2270,167,35,104,407,21,166,26,207,323,73,81,64,38,67,41,7,108,15,23,36,8,52,82,8,14,97,5,2,2,-,1,-,-,-,-,-,-,-,-,-,-,6765,6446,126,41,39,1003,773,4464,319
14,5,13111,従業地・通学地／大田区,48213,41252,40737,7,49,167,56,37,58,120,168,1164,356,36828,568,89,60,73,50,54,74,79,110,170,130,270,513,45,9,15,25,8,40,7,23,137,12,24,18,17,12,10,2,20,4,5,17,1,16,21,2,3,20,1,1,-,-,-,1,-,-,-,1,-,-,-,-,-,6961,6698,172,55,42,690,869,4870,263
15,5,13112,従業地・通学地／世田谷区,98581,66729,56576,112,181,414,476,354,170,262,674,1128,1719,2428,41064,754,628,1836,359,365,215,625,1003,573,434,802,10114,908,192,330,711,100,864,111,1358,1479,236,250,327,155,202,158,48,979,87,69,130,46,455,484,55,71,309,36,24,8,2,2,3,2,-,-,-,1,-,-,-,-,31852,30147,911,347,416,6218,4243,18012,1705
16,5,13113,従業地・通学地／渋谷区,47055,25988,21212,88,220,681,474,355,201,249,596,742,995,1316,2572,6491,497,1297,432,419,255,673,987,551,370,751,4745,445,118,266,408,72,308,80,506,477,179,247,167,145,131,76,19,191,61,55,127,39,142,130,23,44,289,29,18,6,2,3,2,-,-,1,-,1,-,-,-,-,21067,20001,679,383,280,5443,3758,9458,1066
17,5,13114,従業地・通学地／中野区,26995,21649,17728,31,70,78,495,137,90,121,285,126,113,249,547,238,10317,1551,226,184,80,361,1653,193,162,421,3893,264,151,213,230,70,204,84,190,112,193,359,117,286,160,66,35,67,84,105,184,60,56,46,43,48,466,28,19,5,-,4,-,-,-,-,-,-,-,-,-,-,5346,4981,204,41,62,1767,1333,1574,365
18,5,13115,従業地・通学地／杉並区,47022,40115,33057,49,76,134,417,215,103,141,357,250,272,433,2063,392,1093,23532,265,201,107,394,1700,219,170,474,7031,426,199,734,856,96,563,115,755,235,414,321,193,191,256,132,49,267,91,78,145,49,104,163,43,42,514,27,15,8,1,3,-,-,-,-,-,-,-,-,-,-,6907,6390,193,93,89,2297,1275,2443,517
19,5,13116,従業地・通学地／豊島区,50881,29085,25301,77,187,265,738,852,254,249,584,393,402,716,989,280,556,789,8934,1054,494,2596,2593,995,588,716,3759,253,92,166,193,75,171,75,217,223,127,227,92,188,116,68,29,64,59,239,333,28,86,49,24,40,525,25,17,7,1,-,-,-,-,-,-,-,-,-,-,-,21796,21084,902,315,262,10705,4212,4688,712
20,5,13117,従業地・通学地／北区,25574,19696,19295,30,45,76,181,329,231,170,263,62,67,139,150,71,95,99,510,12725,509,1219,403,1144,395,382,399,28,6,20,21,6,21,3,28,13,7,37,16,26,11,5,1,8,11,20,27,2,7,3,3,4,65,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,5878,5696,176,65,42,4354,740,319,182
21,5,13118,従業地・通学地／荒川区,13273,11231,10958,18,19,23,41,101,116,100,78,31,34,70,103,27,34,72,74,166,8745,95,93,548,227,143,273,26,1,17,14,6,11,7,20,27,12,14,7,7,9,9,1,13,2,5,17,5,6,10,2,1,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2042,1981,114,27,20,717,695,408,61
22,5,13119,従業地・通学地／板橋区,45332,35033,33810,25,52,67,237,378,93,112,204,148,90,161,214,75,228,265,593,1162,223,26851,1701,417,178,336,1217,91,23,55,58,22,64,16,51,45,42,62,37,92,36,23,8,13,18,81,117,8,23,21,10,14,187,6,2,3,-,1,-,-,-,-,-,-,-,-,-,-,10299,9760,392,203,184,6965,1094,922,539
23,5,13120,従業地・通学地／練馬区,43893,40033,37366,19,26,37,204,114,24,27,99,54,50,80,223,49,485,671,280,143,45,739,33758,91,52,96,2658,63,34,192,107,12,59,25,61,32,67,183,26,237,67,27,11,12,34,232,390,17,12,11,4,11,732,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,3860,3613,106,31,53,2288,558,577,247
24,5,13121,従業地・通学地／足立区,38730,34125,33719,8,22,12,31,41,89,191,146,35,29,72,87,9,33,66,49,218,428,110,91,30864,816,272,400,46,11,22,24,17,25,16,18,22,13,18,17,17,19,7,8,7,4,9,18,3,7,3,5,9,35,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,4605,4454,435,132,73,1806,1365,643,151
25,5,13122,従業地・通学地／葛飾区,27792,25085,24838,6,12,13,25,30,56,247,123,37,17,59,68,11,25,44,40,59,115,58,61,904,22128,700,244,31,14,16,12,6,11,1,8,27,11,15,11,9,10,4,-,5,3,4,9,1,7,6,3,1,19,3,2,-,-,1,-,-,-,-,-,-,-,-,-,-,2707,2573,152,31,22,711,1126,531,134
26,5,13123,従業地・通学地／江戸川区,50512,46667,46445,6,39,13,34,32,71,332,741,41,11,66,43,7,20,32,23,40,77,39,49,368,872,43489,221,25,4,13,13,10,18,4,20,16,5,13,10,10,5,4,3,4,4,4,4,2,3,4,3,3,17,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3845,3593,174,45,57,543,2413,361,252
27,4,13200,従業地・通学地／市部,483190,410654,29995,162,238,526,969,653,270,370,922,719,814,1426,5320,869,1654,5153,719,613,334,1157,4361,806,637,1303,378940,62678,14416,10121,14133,11866,24463,10444,20014,43438,11151,18452,18556,13088,10795,6769,4177,4744,7838,6007,9427,6547,12044,9032,5580,7558,15602,1714,944,587,51,132,5,4,-,1,-,-,-,-,-,-,72536,65539,1516,778,965,19067,6472,36741,6997
28,5,13201,従業地・通学地／八王子市,99522,77459,5739,31,60,80,179,132,71,108,249,169,169,389,815,122,289,698,164,169,121,318,624,228,184,370,71394,53211,1076,324,419,744,1337,740,973,2178,471,660,3041,430,683,420,335,148,357,128,194,257,1431,490,406,550,391,325,206,83,12,24,1,1,-,-,-,-,-,-,-,-,22063,19517,458,239,351,5723,1653,11093,2546
29,5,13202,従業地・通学地／立川市,18125,17186,323,-,2,2,10,5,1,3,8,8,9,16,39,9,19,92,4,6,-,13,48,10,6,13,16742,944,10248,124,143,330,481,361,125,147,224,452,520,296,365,251,129,15,301,67,81,261,229,172,159,195,122,119,59,47,2,11,2,1,-,1,-,-,-,-,-,-,939,688,16,12,11,255,81,313,251
30,5,13203,従業地・通学地／武蔵野市,23386,18298,4863,36,39,65,153,110,38,47,153,74,121,151,582,119,316,1221,109,81,38,144,895,99,98,174,13224,406,191,7589,657,103,409,134,334,126,495,407,186,190,310,164,48,53,108,66,178,58,63,65,64,71,749,211,30,176,1,4,-,-,-,-,-,-,-,-,-,-,5088,4708,155,71,61,2133,1079,1209,380
31,5,13204,従業地・通学地／三鷹市,16807,15282,1764,12,11,31,58,48,11,20,46,37,47,69,387,44,88,407,29,18,20,51,213,27,21,69,13507,164,68,266,10751,38,331,45,498,68,209,155,73,60,100,64,14,89,21,15,66,14,68,88,19,28,195,11,7,3,-,1,-,-,-,-,-,-,-,-,-,-,1525,1320,42,27,29,438,271,513,205
32,5,13205,従業地・通学地／青梅市,9641,9536,14,-,-,-,-,-,1,-,-,-,1,1,1,1,1,-,-,-,-,-,5,1,1,1,9398,104,69,5,4,8541,17,118,2,7,7,21,24,9,9,11,81,1,32,1,7,52,4,3,127,135,7,124,75,30,5,14,-,-,-,-,-,-,-,-,-,-,105,93,4,2,1,50,4,32,12
33,5,13206,従業地・通学地／府中市,24912,23584,773,2,6,5,26,25,6,8,32,18,18,40,171,15,35,132,23,20,8,28,78,13,19,45,22785,490,214,154,282,46,18487,126,563,80,275,229,310,129,346,236,24,66,55,33,41,33,261,186,21,33,65,24,9,9,-,6,2,2,-,-,-,-,-,-,-,-,1328,1147,25,21,26,422,153,500,181
34,5,13207,従業地・通学地／昭島市,9176,9049,29,1,-,-,-,1,1,-,-,-,-,2,2,2,5,5,-,1,-,3,4,-,2,-,8933,249,187,2,7,248,54,7343,15,14,27,57,98,30,60,43,106,2,70,5,3,63,13,10,74,134,19,87,50,29,2,6,-,-,-,-,-,-,-,-,-,-,127,106,6,1,1,60,9,29,21
