_id,地域階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
35,5,13208,従業地・通学地／調布市,25598,22672,2833,7,21,151,72,51,12,24,56,59,100,90,902,225,83,483,48,41,17,59,170,62,31,69,19835,503,53,260,591,16,591,36,15910,212,176,142,175,46,106,80,19,194,19,13,28,8,264,248,8,8,129,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2926,2553,81,41,47,639,373,1372,373
36,5,13209,従業地・通学地／町田市,62229,46066,2601,8,14,48,62,45,24,32,73,93,111,221,829,103,87,226,52,50,28,87,150,88,45,125,43434,1793,115,50,94,87,257,81,272,38832,62,74,262,59,76,57,29,198,64,16,27,25,458,306,43,49,48,31,22,4,2,3,-,-,-,-,-,-,-,-,-,-,16163,15500,155,60,71,1019,534,13661,663
37,5,13210,従業地・通学地／小金井市,19129,15532,2262,13,21,27,82,51,18,24,63,60,41,94,259,40,182,528,51,53,22,76,364,58,48,87,13231,352,196,359,332,127,480,121,184,134,7989,760,192,233,426,144,60,22,96,77,255,58,87,90,56,67,334,39,19,12,2,6,-,-,-,-,-,-,-,-,-,-,3597,3263,78,51,46,1459,414,1215,334
38,5,13211,従業地・通学地／小平市,22758,19978,1701,9,16,25,93,36,21,23,50,49,46,67,133,35,138,246,56,56,21,73,364,39,38,67,18227,401,384,175,144,142,327,198,90,74,321,12998,197,502,639,138,65,14,338,133,218,125,26,42,96,101,339,50,37,8,2,3,-,-,-,-,-,-,-,-,-,-,2780,2428,72,41,51,1368,323,573,352
39,5,13212,従業地・通学地／日野市,19677,17474,639,5,1,5,27,9,6,10,27,22,11,36,90,15,43,86,18,17,7,42,79,28,17,38,16775,1462,270,54,71,158,376,152,147,191,77,114,12547,76,113,98,49,24,90,23,39,71,228,101,73,104,67,60,30,19,4,7,-,-,-,-,-,-,-,-,-,-,2203,1867,68,24,43,654,114,964,336
40,5,13213,従業地・通学地／東村山市,12103,11651,309,-,1,1,10,4,-,1,5,3,2,3,20,1,38,60,6,8,-,10,129,1,2,4,11327,73,107,44,40,28,72,39,16,7,85,299,39,9648,80,30,21,1,168,95,122,67,10,4,27,28,177,15,7,8,-,-,-,-,-,-,-,-,-,-,-,-,452,422,-,2,4,372,12,32,30
41,5,13214,従業地・通学地／国分寺市,13663,11184,1403,17,12,41,50,37,19,18,44,34,46,45,152,54,91,274,48,29,17,54,194,38,24,65,9747,322,146,138,126,93,214,80,79,73,214,487,147,162,6747,95,41,17,67,43,70,50,49,54,45,46,142,34,21,9,-,4,-,-,-,-,-,-,-,-,-,-,2479,2208,58,46,67,1217,283,537,271
42,5,13215,従業地・通学地／国立市,13352,10877,1447,11,8,14,58,39,11,13,38,31,34,61,272,36,88,368,37,17,9,57,153,26,23,43,9403,516,337,236,165,86,365,120,195,204,220,628,237,108,467,4771,38,38,73,39,60,43,118,116,44,56,123,27,17,9,-,1,-,-,-,-,-,-,-,-,-,-,2475,2248,45,27,15,755,295,1111,227
43,5,13218,従業地・通学地／福生市,3732,3713,7,-,1,-,-,-,-,-,-,-,-,-,2,-,1,1,-,-,-,1,1,-,-,-,3615,66,38,1,1,212,5,135,1,1,3,5,16,3,3,2,2825,-,26,1,1,49,2,-,88,130,1,91,58,23,2,8,-,-,-,-,-,-,-,-,-,-,19,17,5,1,-,7,1,3,2
44,5,13219,従業地・通学地／狛江市,4787,4650,193,-,-,1,-,1,-,-,-,2,3,4,158,3,2,8,2,2,-,3,2,-,-,2,4455,59,3,2,27,-,45,1,80,328,3,1,6,1,4,2,-,3767,-,-,1,2,47,73,1,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,137,93,11,3,5,15,11,48,44
45,5,13220,従業地・通学地／東大和市,7120,7054,19,-,-,-,-,-,-,-,-,-,-,-,3,-,2,2,-,-,-,-,12,-,-,-,6964,88,189,3,4,157,25,111,1,5,15,127,89,127,46,19,56,-,5537,6,27,107,8,5,58,103,51,71,42,22,3,4,-,-,-,-,-,-,-,-,-,-,66,55,1,1,3,41,3,6,11
46,5,13221,従業地・通学地／清瀬市,7933,6619,545,1,4,2,16,15,3,7,15,6,5,8,24,2,25,41,19,12,4,37,247,16,15,21,6068,24,15,12,14,7,35,10,6,10,29,117,15,328,31,10,5,5,24,4919,267,2,5,9,7,4,158,6,3,-,-,3,-,-,-,-,-,-,-,-,-,-,1314,1235,47,28,19,872,152,117,79
47,5,13222,従業地・通学地／東久留米市,8866,8683,330,-,4,1,12,14,2,1,2,1,7,2,10,8,11,27,16,6,2,24,167,8,1,4,8348,13,15,19,12,5,16,5,5,3,44,144,8,205,14,1,3,-,22,181,7413,5,3,3,2,3,204,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,183,160,2,1,-,133,7,17,23
48,5,13223,従業地・通学地／武蔵村山市,7024,6835,69,-,-,-,-,-,-,1,1,-,1,-,5,-,5,11,2,-,-,2,37,1,1,2,6651,134,191,11,14,189,48,150,9,14,34,94,48,89,60,37,53,1,115,14,27,5016,35,30,95,95,48,115,93,14,4,4,-,-,-,-,-,-,-,-,-,-,189,173,6,-,4,122,13,28,16
49,5,13224,従業地・通学地／多摩市,16331,12560,1122,7,13,20,26,18,14,19,35,39,26,85,382,23,30,110,17,17,11,39,58,38,39,56,11422,710,87,30,75,25,262,31,349,531,24,41,168,21,35,33,13,70,31,8,14,17,8526,248,23,22,28,16,12,3,-,1,-,-,-,-,-,-,-,-,-,-,3771,3425,91,42,51,545,306,2390,346
50,5,13225,従業地・通学地／稲城市,8550,7711,150,-,2,2,4,2,2,1,10,7,5,12,37,4,7,17,-,2,3,7,11,2,3,10,7558,191,28,8,39,7,119,10,109,142,7,11,44,6,3,28,4,11,2,2,5,8,89,6672,6,5,2,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,839,775,15,6,18,105,40,591,64
51,5,13227,従業地・通学地／羽村市,4664,4642,5,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,1,-,-,1,4564,32,46,2,-,221,8,61,-,2,4,4,19,9,7,2,69,1,74,-,2,71,-,-,3889,40,1,73,66,5,-,2,-,-,-,-,-,-,-,-,-,-,22,20,2,-,-,7,4,7,2
52,5,13228,従業地・通学地／あきる野市,7406,7237,38,-,-,-,1,1,-,-,1,-,-,1,3,1,3,6,2,1,-,3,10,1,1,3,7039,311,93,5,7,232,31,198,12,41,18,44,65,31,21,17,82,1,52,2,9,51,14,11,137,5541,13,160,67,64,10,19,-,-,-,-,-,-,-,-,-,-,169,146,2,-,-,74,7,63,23
53,5,13229,従業地・通学地／西東京市,16699,15122,817,2,2,5,30,9,9,10,14,7,10,29,41,7,64,104,16,7,6,26,345,22,18,34,14294,60,50,248,114,24,71,38,39,14,118,381,30,290,44,16,8,6,96,120,272,34,6,6,12,9,12188,11,6,4,-,1,-,-,-,-,-,-,-,-,-,-,1577,1372,71,31,41,582,330,317,205
54,4,13300,従業地・通学地／郡部,4063,4039,14,-,-,-,1,-,-,-,-,-,-,-,2,-,1,-,1,1,-,1,4,-,-,3,300,45,8,2,-,44,5,29,3,2,3,6,4,6,5,-,15,-,19,2,1,45,-,1,12,33,10,3725,2251,1162,92,220,-,-,-,-,-,-,-,-,-,-,24,19,1,-,-,17,-,1,5
55,5,13303,従業地・通学地／瑞穂町,2585,2567,11,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,1,1,-,1,4,-,-,1,294,45,8,2,-,43,5,29,3,2,3,6,4,6,5,-,14,-,19,2,1,43,-,1,11,32,10,2262,2251,6,2,3,-,-,-,-,-,-,-,-,-,-,18,17,-,-,-,17,-,-,1
56,5,13305,従業地・通学地／日の出町,1166,1160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,1,-,1156,-,1156,-,-,-,-,-,-,-,-,-,-,-,-,6,2,1,-,-,-,-,1,4
57,5,13307,従業地・通学地／檜原村,90,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,-,-,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,5,13308,従業地・通学地／奥多摩町,222,222,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,217,-,-,-,217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,4,13350,従業地・通学地／島部,2477,2449,32,-,1,1,1,-,1,-,1,1,1,3,1,1,2,3,2,1,-,3,3,3,1,2,17,4,1,-,2,1,-,-,-,1,-,1,-,2,-,1,-,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-,2400,862,25,229,199,135,19,658,14,259,28,24,2,-,-,11,7,4,4
60,5,13361,従業地・通学地／大島町,891,888,16,-,-,1,1,-,-,-,1,1,1,-,-,-,1,1,1,1,-,1,2,2,1,1,10,3,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-,862,862,-,-,-,-,-,-,-,-,3,3,-,-,-,-,2,1,-
61,5,13362,従業地・通学地／利島村,35,29,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,25,-,-,-,-,-,-,-,6,4,2,-,-,2,-,-,2
62,5,13363,従業地・通学地／新島村,236,234,4,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,-,-,229,-,-,-,-,-,-,2,2,-,-,-,1,1,-,-
63,5,13364,従業地・通学地／神津島村,203,200,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199,-,-,-,199,-,-,-,-,-,3,3,-,-,-,2,-,1,-
64,5,13381,従業地・通学地／三宅村,139,137,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135,-,-,-,-,135,-,-,-,-,2,1,-,-,-,1,-,-,1
65,5,13382,従業地・通学地／御蔵島村,23,20,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,19,-,-,-,3,2,-,-,-,-,2,-,1
66,5,13401,従業地・通学地／八丈町,670,664,6,-,1,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,658,-,-,-,-,-,-,658,-,-,6,6,-,-,-,5,-,1,-
67,5,13402,従業地・通学地／青ヶ島村,19,18,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,14,-,1,1,-,-,-,-,1,-,-
68,5,13421,従業地・通学地／小笠原村,261,259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,259,-,-,-,-,-,-,-,-,259,2,2,-,-,-,-,1,1,-
69,1,,従業地・通学地／他道府県,…,69279,46157,262,492,835,1004,1172,695,1153,2282,1830,1705,4823,5219,856,962,2038,1166,1339,1012,2505,3262,3478,3197,4870,22858,2875,639,543,577,610,944,454,868,5306,510,1011,751,985,634,364,229,537,325,500,730,204,727,647,288,309,1291,253,190,48,6,9,11,2,-,-,1,1,-,4,-,3,…,…,…,…,…,…,…,…,…
70,2,,従業地・通学地／関東地方,…,65923,44634,249,455,813,963,1121,670,1119,2196,1766,1639,4655,5030,802,924,1911,1113,1299,991,2425,3160,3410,3133,4790,21049,2258,573,502,533,580,829,409,814,5155,474,941,614,956,587,335,210,522,314,485,702,184,670,618,266,279,1239,232,174,45,5,8,8,1,-,-,1,-,-,3,-,3,…,…,…,…,…,…,…,…,…
71,3,8000,従業地・通学地／茨城県,…,912,757,5,5,11,11,30,22,30,26,18,7,28,49,9,16,23,18,15,51,23,31,163,113,53,154,22,7,6,4,7,8,4,9,19,4,8,6,10,4,4,1,3,5,1,3,1,5,3,1,-,9,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
72,3,9000,従業地・通学地／栃木県,…,160,111,-,1,2,-,7,6,2,6,8,5,9,5,1,3,3,5,6,5,7,9,9,6,6,49,7,1,2,2,1,3,1,3,4,4,1,4,1,1,-,1,-,-,1,5,-,2,-,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
73,3,10000,従業地・通学地／群馬県,…,197,147,2,1,1,4,4,4,5,5,5,8,3,6,1,1,5,9,9,6,11,7,32,11,7,49,9,3,2,1,2,1,2,2,3,-,2,4,1,2,1,-,1,2,-,2,-,1,3,4,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
74,3,11000,従業地・通学地／埼玉県,…,18597,11463,50,99,109,297,366,223,272,375,218,185,379,527,141,312,542,512,680,358,1499,1829,1372,558,560,6970,468,255,134,142,403,248,207,131,139,195,583,169,742,286,119,122,45,198,389,511,126,73,63,159,180,883,162,126,25,4,7,2,-,-,-,-,-,-,1,-,1,…,…,…,…,…,…,…,…,…
75,3,12000,従業地・通学地／千葉県,…,13816,12667,60,154,121,160,264,235,549,1154,245,127,445,325,116,145,273,184,229,371,328,356,1354,2068,3404,1136,111,39,69,84,23,64,30,55,71,51,66,55,51,31,23,11,25,20,24,53,9,27,18,16,7,103,9,7,2,-,-,4,1,-,-,1,-,-,2,-,-,…,…,…,…,…,…,…,…,…
76,3,14000,従業地・通学地／神奈川県,…,32241,19489,132,195,569,491,450,180,261,630,1272,1307,3791,4118,534,447,1065,385,360,200,557,928,480,377,760,12691,1641,268,289,300,144,505,165,614,4919,220,281,376,151,263,188,75,448,89,70,128,48,562,531,85,91,240,59,39,18,1,1,2,-,-,-,-,-,-,-,-,2,…,…,…,…,…,…,…,…,…
77,2,,従業地・通学地／関東地方以外の道府県,…,3356,1523,13,37,22,41,51,25,34,86,64,66,168,189,54,38,127,53,40,21,80,102,68,64,80,1809,617,66,41,44,30,115,45,54,151,36,70,137,29,47,29,19,15,11,15,28,20,57,29,22,30,52,21,16,3,1,1,3,1,-,-,-,1,-,1,-,-,…,…,…,…,…,…,…,…,…
78,"",,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
79,平成27年国勢調査による東京都の昼間人口,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
80,第７表の３ 地域相互間の昼夜間移動状況 -通学者-,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
81,注　1) 全国総数（従業地・通学地）に1) ［従業・通学市区町村「不詳・外国」］及び［従業地・通学地「不詳」］を含む。,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
82,地域階層（0：全国　1:東京都以外の道府県　2:関東地方　3:都道府県　4:区部・市部・郡部・島部　5:区市町村）,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
