_id,階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
35,5,13208,従業地・通学地／調布市,21763,19586,2704,18,17,155,64,44,14,17,53,55,81,69,1002,200,62,455,37,23,17,51,161,24,29,56,16875,361,51,246,550,7,526,28,13588,212,140,84,120,50,79,68,3,157,21,11,14,9,234,193,7,6,110,7,4,2,-,1,-,-,-,-,-,-,-,-,-,-,2177,1955,75,35,30,443,282,1090,222
36,5,13209,従業地・通学地／町田市,50017,37870,2014,12,21,50,48,26,16,22,59,60,66,164,785,85,61,115,31,39,25,57,98,53,41,80,35828,1309,91,32,57,47,179,45,256,32308,32,58,177,46,56,40,21,178,34,17,13,29,429,277,26,36,35,25,17,6,-,2,3,2,-,1,-,-,-,-,-,-,12147,11579,150,87,100,636,407,10199,568
37,5,13210,従業地・通学地／小金井市,16837,14010,2147,8,25,24,64,43,16,23,82,55,34,71,279,55,161,479,37,55,20,85,352,50,30,99,11840,308,189,359,301,88,433,114,139,120,7363,583,182,194,314,119,47,26,88,83,192,45,64,85,55,46,303,23,13,6,2,2,-,-,-,-,-,-,-,-,-,-,2827,2562,89,41,60,1138,299,935,265
38,5,13211,従業地・通学地／小平市,20905,18513,1579,9,7,16,80,21,23,26,47,44,34,56,145,28,136,231,44,37,21,63,385,39,35,52,16877,304,413,136,111,120,268,165,68,75,274,12378,153,391,524,120,68,24,285,106,191,112,55,42,83,124,287,57,35,18,2,2,-,-,-,-,-,-,-,-,-,-,2392,2099,60,38,39,1177,269,516,293
39,5,13212,従業地・通学地／日野市,17215,15451,471,2,2,8,13,3,5,9,27,12,11,36,71,9,19,62,13,16,9,25,63,11,14,31,14938,1102,220,30,50,123,317,124,121,160,54,90,11616,52,86,97,39,17,86,18,20,66,225,53,59,70,43,42,29,10,-,3,-,-,-,-,-,-,-,-,-,-,1764,1502,51,22,41,543,123,722,262
40,5,13213,従業地・通学地／東村山市,10842,10395,342,-,2,1,13,4,3,-,2,2,3,3,20,5,33,77,9,6,1,8,143,3,1,3,10045,76,93,34,30,38,73,36,15,12,54,206,38,8587,99,23,20,1,180,57,115,64,10,8,26,39,111,8,4,3,-,1,-,-,-,-,-,-,-,-,-,-,447,429,2,-,4,383,10,30,18
41,5,13214,従業地・通学地／国分寺市,12322,10502,1281,26,17,51,62,33,10,12,43,31,41,44,179,55,67,246,35,25,11,38,143,38,22,52,9195,227,109,91,104,63,187,63,60,77,196,350,113,125,6896,85,28,8,64,17,48,36,41,25,39,46,97,25,14,8,2,1,1,-,-,-,1,-,-,-,-,-,1820,1628,49,56,83,845,195,400,192
42,5,13215,従業地・通学地／国立市,11672,9850,1387,9,13,22,52,26,7,20,30,35,31,61,285,38,67,385,22,26,6,36,138,25,14,39,8431,415,333,191,191,87,336,110,173,154,187,195,237,120,352,4637,33,36,84,36,57,49,109,95,43,61,110,31,14,13,1,3,1,-,-,-,1,-,-,-,-,-,1822,1707,33,26,19,603,219,807,115
43,5,13218,従業地・通学地／福生市,3217,3210,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3130,60,50,-,2,168,4,112,1,1,3,6,10,12,3,3,2442,-,16,1,3,44,1,1,71,116,-,78,49,22,1,6,-,-,-,-,-,-,-,-,-,-,7,6,-,-,-,3,-,3,1
44,5,13219,従業地・通学地／狛江市,4942,4846,217,-,2,-,3,3,1,-,2,2,5,10,153,8,1,15,-,-,-,3,6,1,-,2,4629,58,5,2,17,4,38,2,74,298,3,2,9,2,2,4,1,4013,-,1,1,1,44,42,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,78,8,4,6,5,5,50,18
45,5,13220,従業地・通学地／東大和市,6749,6711,33,-,-,-,2,1,-,-,-,-,-,-,-,-,5,3,-,-,1,-,20,1,-,-,6611,93,185,9,3,121,24,114,6,2,11,105,69,84,46,28,42,-,5315,8,39,93,16,9,60,97,32,67,47,16,-,4,-,-,-,-,-,-,-,-,-,-,38,36,2,-,1,30,1,2,2
46,5,13221,従業地・通学地／清瀬市,7180,6131,544,2,2,2,10,6,1,3,9,2,8,13,24,6,17,30,16,17,6,37,290,14,8,21,5585,18,22,18,15,10,22,12,6,11,26,66,10,281,23,9,1,4,17,4652,196,5,6,6,-,7,142,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1049,984,46,25,30,674,117,92,65
47,5,13222,従業地・通学地／東久留米市,7806,7648,371,1,3,2,21,11,4,1,6,8,5,7,17,1,13,25,29,7,4,15,176,7,4,4,7275,5,3,20,9,6,10,2,8,3,31,122,2,164,13,-,4,3,15,158,6516,2,-,4,4,5,166,1,1,-,-,-,1,-,-,-,1,-,-,-,-,-,158,147,2,4,1,106,11,23,11
48,5,13223,従業地・通学地／武蔵村山市,5936,5829,75,-,-,-,1,1,-,1,-,-,1,1,4,2,10,17,-,-,-,3,32,-,1,1,5674,121,193,10,18,176,47,161,9,17,27,91,86,83,36,36,47,-,121,14,16,4095,23,13,84,104,46,80,56,16,1,7,-,-,-,-,-,-,-,-,-,-,107,105,1,-,2,85,2,15,2
49,5,13224,従業地・通学地／多摩市,14897,12375,654,3,3,8,22,5,7,9,29,24,15,38,222,16,22,60,9,12,9,23,52,18,15,33,11711,571,74,15,58,17,226,20,254,562,10,35,157,12,25,39,12,41,31,10,16,10,9221,246,12,18,19,10,7,2,1,-,-,-,-,-,-,-,-,-,-,-,2522,2281,59,29,52,325,147,1669,241
50,5,13225,従業地・通学地／稲城市,8138,7449,135,-,1,3,5,-,-,1,6,5,3,13,45,2,6,13,2,2,-,3,6,6,4,9,7311,168,12,1,22,4,111,15,99,126,11,7,38,10,7,12,-,17,4,2,-,2,115,6511,3,13,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,689,618,14,13,18,90,35,448,71
51,5,13227,従業地・通学地／羽村市,4072,4065,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,3998,35,29,1,-,202,12,32,-,1,4,5,14,3,7,4,60,-,61,1,1,66,-,-,3422,38,-,65,53,6,1,5,-,-,-,-,-,-,-,-,-,-,7,6,1,-,-,1,1,3,1
52,5,13228,従業地・通学地／あきる野市,7056,6903,37,-,-,1,1,1,-,-,1,2,-,2,4,2,5,5,-,-,-,1,10,-,2,-,6766,277,90,4,5,192,42,221,13,33,13,31,63,30,30,23,70,1,31,1,9,59,15,11,84,5410,8,100,36,47,5,12,-,-,-,-,-,-,-,-,-,-,153,147,1,1,-,64,7,74,6
53,5,13229,従業地・通学地／西東京市,15758,14656,856,2,3,9,16,12,1,5,11,5,5,21,37,6,48,113,13,8,5,21,465,12,16,22,13792,47,59,202,115,24,54,32,36,16,110,273,21,249,55,16,19,4,76,176,270,36,9,9,10,24,11850,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,1102,926,68,29,35,362,203,229,176
54,4,13300,従業地・通学地／郡部,3718,3689,8,-,-,-,1,-,-,-,1,-,-,1,-,-,2,-,2,-,-,-,-,1,-,-,276,39,8,1,-,44,2,25,1,-,5,5,14,12,2,-,16,-,20,4,2,29,1,2,19,21,4,3405,1807,1319,77,202,-,-,-,-,-,-,-,-,-,-,29,26,4,-,-,12,3,7,3
55,5,13303,従業地・通学地／瑞穂町,2084,2079,4,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,266,38,8,1,-,43,2,25,1,-,3,5,14,11,2,-,15,-,20,3,2,29,1,1,19,19,4,1809,1807,-,1,1,-,-,-,-,-,-,-,-,-,-,5,4,-,-,-,3,-,1,1
56,5,13305,従業地・通学地／日の出町,1337,1328,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,8,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,1,-,2,-,1319,-,1319,-,-,-,-,-,-,-,-,-,-,-,-,9,7,2,-,-,3,-,2,2
57,5,13307,従業地・通学地／檜原村,87,79,2,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,-,-,76,-,-,-,-,-,-,-,-,-,-,-,8,8,1,-,-,2,2,3,-
58,5,13308,従業地・通学地／奥多摩町,210,203,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,201,-,-,-,201,-,-,-,-,-,-,-,-,-,-,7,7,1,-,-,4,1,1,-
59,4,13350,従業地・通学地／島部,2274,2263,22,-,-,-,1,-,-,1,1,2,-,6,1,-,-,2,-,2,1,-,3,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2240,770,33,215,216,125,30,561,11,279,11,11,1,1,1,2,2,4,-
60,5,13361,従業地・通学地／大島町,792,788,17,-,-,-,-,-,-,1,1,1,-,4,1,-,-,1,-,2,1,-,3,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,770,770,-,-,-,-,-,-,-,-,4,4,1,-,-,1,1,1,-
61,5,13362,従業地・通学地／利島村,35,34,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,33,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-
62,5,13363,従業地・通学地／新島村,215,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,215,-,-,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,5,13364,従業地・通学地／神津島村,217,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216,-,-,-,216,-,-,-,-,-,1,1,-,-,1,-,-,-,-
64,5,13381,従業地・通学地／三宅村,127,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,-,-,-,-,125,-,-,-,-,2,2,-,-,-,-,1,1,-
65,5,13382,従業地・通学地／御蔵島村,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-
66,5,13401,従業地・通学地／八丈町,567,565,4,-,-,-,1,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,561,-,-,-,-,-,-,561,-,-,2,2,-,-,-,-,-,2,-
67,5,13402,従業地・通学地／青ヶ島村,12,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,11,-,1,1,-,1,-,-,-,-,-
68,5,13421,従業地・通学地／小笠原村,279,279,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,279,-,-,-,-,-,-,-,-,279,-,-,-,-,-,-,-,-,-
69,1,,従業地・通学地／他道府県,…,56077,38894,264,602,888,770,934,571,957,2078,1749,1338,3934,5211,719,716,1491,897,1158,882,1834,2733,2845,2547,3776,16970,2131,466,339,460,411,758,327,649,4411,290,640,588,610,496,250,138,441,245,386,439,150,546,543,203,230,823,200,148,35,4,13,13,4,-,5,1,1,-,1,-,1,…,…,…,…,…,…,…,…,…
70,2,,従業地・通学地／関東地方,…,53690,37881,247,566,849,738,892,556,937,2027,1695,1295,3858,5067,695,688,1414,874,1133,860,1786,2645,2812,2515,3732,15617,1620,396,315,430,384,698,273,617,4296,264,611,455,590,458,231,120,435,232,376,429,144,513,524,187,217,802,182,137,28,4,13,10,2,-,5,1,1,-,-,-,1,…,…,…,…,…,…,…,…,…
71,3,8000,従業地・通学地／茨城県,…,950,816,12,8,12,8,25,31,32,42,17,10,22,55,13,17,18,14,22,53,21,32,177,118,57,133,13,5,10,5,3,7,2,9,6,9,6,5,5,8,4,-,4,3,4,6,1,2,4,1,3,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
72,3,9000,従業地・通学地／栃木県,…,169,120,3,-,3,8,4,3,4,9,5,1,12,11,3,3,3,7,3,-,9,10,6,6,7,49,9,1,3,4,1,3,-,4,3,2,5,2,2,-,1,1,-,1,-,-,2,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
73,3,10000,従業地・通学地／群馬県,…,183,138,-,3,1,4,6,5,9,9,4,4,2,13,1,2,6,4,10,3,6,10,20,9,7,43,9,1,-,-,3,-,3,-,4,1,3,2,2,1,-,1,-,-,2,2,1,2,1,1,3,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
74,3,11000,従業地・通学地／埼玉県,…,14059,9090,47,117,95,204,289,168,193,332,196,126,297,428,93,263,376,376,646,286,1037,1544,1193,423,361,4835,310,201,93,130,277,214,150,79,98,113,387,135,452,201,86,74,31,153,297,327,105,42,50,123,146,561,129,103,15,3,8,5,1,-,2,-,1,-,-,-,1,…,…,…,…,…,…,…,…,…
75,3,12000,従業地・通学地／千葉県,…,11775,10878,73,220,111,157,222,192,529,1127,233,95,382,338,78,91,204,145,211,345,279,326,1067,1678,2775,888,98,26,57,71,10,66,20,53,83,31,40,33,31,47,12,7,14,18,25,28,9,20,11,16,6,56,7,5,1,-,1,2,-,-,1,1,-,-,-,-,-,…,…,…,…,…,…,…,…,…
76,3,14000,従業地・通学地／神奈川県,…,26554,16839,112,218,627,357,346,157,170,508,1240,1059,3143,4222,507,312,807,328,241,173,434,723,349,281,525,9669,1181,162,152,220,90,408,98,472,4102,108,170,278,98,201,128,37,386,57,48,66,26,444,458,46,59,174,43,27,11,1,4,3,1,-,2,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…
77,3,,従業地・通学地／関東地方以外の道府県,…,2387,1013,17,36,39,32,42,15,20,51,54,43,76,144,24,28,77,23,25,22,48,88,33,32,44,1353,511,70,24,30,27,60,54,32,115,26,29,133,20,38,19,18,6,13,10,10,6,33,19,16,13,21,18,11,7,-,-,3,2,-,-,-,-,-,1,-,-,…,…,…,…,…,…,…,…,…
78,"",,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
79,令和２年国勢調査による東京都の昼間人口,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
80,第７表の３ 地域相互間の昼夜間移動状況 -通学者-,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
81,階層（0：全国　1:東京都以外の道府県　2:関東地方　3:都道府県　4:区部_市部_郡部_島部　5:区市町村）,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
82,注　1)　従業地・通学地の全国総数については［従業・通学市区町村「不詳・外国」］及び［従業地・通学地「不詳」］を含む。,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
